Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.4853765125072651,0.39066842424854453,0.32447698774974904
2,0.5024178730072388,0.402333183527815,0.41324723792460244
3,0.4999341073514545,0.3695365987989907,0.3145089574918583
4,0.5095017061038558,0.3813419980917471,0.3194179248150746
5,0.502526945126427,0.4069585269967213,0.38471314944400964
6,0.5125420684966387,0.39693162736987864,0.3386221881944707
7,0.521834924390541,0.39238828893793753,0.33957399324425813
8,0.5162816335589682,0.4290222489699754,0.35822435260551694
9,0.514199730657032,0.41073611122248893,0.34115166625636156
10,0.5203335783623809,0.42028151104373235,0.3338664476649919
11,0.5255869471600688,0.4218932349267015,0.33713622261067994
12,0.5234020236583881,0.42620425810136736,0.34162458014537816
