OuterFold,Label,SelectedCellN,SelectedStudyCoverage,MeanSoftTarget,SoftTargetFraction_ge_0_5,MeanSelectionScore
2,ACL,1309,0.3009887330420786,0.3400920971244854,0.2452253628724217,0.6464725494128221
2,MCL,1205,0.2770751896987813,0.23942328432272741,0.03900414937759336,0.5467250393899822
2,Medial Meniscus,1694,0.38951483099563117,0.5793673902269763,0.5826446280991735,0.608527569171865
2,Lateral Meniscus,1800,0.41388825017245345,0.30488883001273476,0.15333333333333332,0.54206022824327
2,Medial OA,0,0.0,,,
2,Lateral OA,0,0.0,,,
2,PF OA,0,0.0,,,
2,Effusion,968,0.22257990342607495,0.23152856822489543,0.07128099173553719,0.5911997561417016
2,Synovitis,0,0.0,,,
2,Baker's,844,0.19406760174752816,0.4270440204534106,0.31635071090047395,0.5604280427014259
2,Contusion,0,0.0,,,
2,Fracture,513,0.11795815129914923,0.24565009074867106,0.05847953216374269,0.5587880196177836
