OuterFold,Label,SelectedCellN,SelectedStudyCoverage,MeanSoftTarget,SoftTargetFraction_ge_0_5,MeanSelectionScore
4,ACL,1308,0.30075879512531617,0.3066907992795501,0.2209480122324159,0.6662342469050098
4,MCL,1197,0.27523568636468154,0.22766663078390226,0.029239766081871343,0.5591617929129127
4,Medial Meniscus,1595,0.36675097723614625,0.550073775331997,0.5686520376175549,0.6121968108071041
4,Lateral Meniscus,2153,0.4950563347896068,0.29566662121109033,0.1699953553181607,0.5968994465509625
4,Medial OA,0,0.0,,,
4,Lateral OA,0,0.0,,,
4,PF OA,0,0.0,,,
4,Effusion,881,0.2025753046677397,0.3431705108502286,0.20998864926220204,0.524522910177431
4,Synovitis,0,0.0,,,
4,Baker's,890,0.204644745918602,0.47281380521839056,0.36404494382022473,0.6088990489484747
4,Contusion,0,0.0,,,
4,Fracture,580,0.133363991722235,0.29606337300641233,0.1396551724137931,0.5709098058503983
