Fold,Epoch,LearningRate,GoldLoss,PseudoLoss,TotalLoss,GoldSteps,PseudoStudiesSeenThisEpoch,PseudoSelectedCellsSeenThisEpoch,ValLoss,ValMacroAUROC,ValMacroAP,ValMacroF1
5,1,0.0009829799502313896,1.0209756619400447,0.7961140361097124,1.2200041625234817,45,45,113,1.0340850811738234,0.6252450096200096,0.5370139351389351,0.26583605664488014
5,2,0.0009330796891903274,0.9679397463798523,0.6855475789970822,1.1393266439437866,45,45,108,0.9153539675932664,0.5963549182299183,0.5299890073550787,0.2880582788671024
5,3,0.0008536998372026806,0.9749113586213853,0.7279495173030429,1.156898738278283,45,45,104,0.9046816046421344,0.5695045695045695,0.48215005232862373,0.26583605664488014
5,4,0.0007502500000000002,0.9521025922563341,0.6800351129637824,1.122111369503869,45,45,127,0.8699331696216877,0.5573021885521885,0.4745770433270433,0.20439814814814813
5,5,0.0006297801130287093,0.9375573555628459,0.6884180625279744,1.1096618745062086,45,45,117,0.8781525905315692,0.5554398148148149,0.48010191197691193,0.2451807859896095
5,6,0.0005005000000000001,0.9528696616490682,0.6907818860477871,1.1255651288562352,45,45,109,0.8934295681806711,0.535182178932179,0.4725441919191919,0.26583605664488014
5,7,0.000371219886971291,0.9180644737349616,0.6998922917577955,1.0930375443564522,45,45,104,0.8658626904854407,0.5328748797498798,0.4563014069264069,0.2148148148148148
5,8,0.00025075000000000016,0.9268453902668423,0.6908208237753974,1.099550599522061,45,45,109,0.8690453125880315,0.553932178932179,0.4877191128976844,0.36024743230625583
5,9,0.00014730016279731957,0.9150204155180189,0.6704456422064039,1.0826318264007568,45,45,120,0.8713610447370089,0.5386123136123137,0.4748024462310177,0.2670762108262108
5,10,6.792031080967288e-05,0.9095210711161296,0.6885702980889215,1.0816636403401694,45,45,92,0.8657130919969999,0.5440521284271284,0.4877224429010143,0.2675925925925926
5,11,1.802004976861044e-05,0.8928929143481784,0.6896554907162984,1.0653067840470207,45,45,128,0.8662639627089868,0.5403799903799905,0.48370127887985026,0.27592592592592585
5,12,1e-06,0.8949202418327331,0.6866565929518805,1.0665843963623047,45,45,123,0.8659847653829135,0.5334355459355459,0.48751080268937413,0.2971916971916972
