Label,GoldPositive,GoldNegative,ReportPositive,ReportNegativeExplicit,DecidableN,DecidableCoverage,AccuracyAmongDecidable,ReportPositivePPV,ReportPositivePPV_WilsonLow,ReportPositivePPV_WilsonHigh,ReportNegativeNPV,ReportNegativeNPV_WilsonLow,ReportNegativeNPV_WilsonHigh,GoldPositiveExplicitCaptureRate,GoldNegativeExplicitCaptureRate,DiscordantReportPositiveGoldNegative,DiscordantReportNegativeGoldPositive,GoldPositiveNotCaptured,Mixed,Uncertain,RelatedAbnormality,NotMentioned
ACL,24,34,26,13,39,0.6724137931034483,0.8974358974358975,0.8461538461538461,0.6646841558168644,0.9385006600107053,1.0,0.7718981569447083,1.0,0.9166666666666666,0.38235294117647056,4,0,2,0,0,0,14
MCL,9,49,15,14,29,0.5,0.7586206896551724,0.5333333333333333,0.3011663015105079,0.7519077474025355,1.0,0.7846829880728186,1.0,0.8888888888888888,0.2857142857142857,7,0,0,0,1,0,20
Medial Meniscus,26,32,22,5,27,0.46551724137931033,0.8888888888888888,0.8636363636363636,0.6666458812053,0.9525108273576373,1.0,0.5655085052479191,1.0,0.7307692307692307,0.15625,3,0,5,1,1,4,18
Lateral Meniscus,23,35,15,18,33,0.5689655172413793,0.9090909090909091,0.8666666666666667,0.6211750079348376,0.9626395301086407,0.9444444444444444,0.7424220019799247,0.9901250641690756,0.5652173913043478,0.4857142857142857,2,1,4,0,3,6,14
Medial OA,15,43,6,1,7,0.1206896551724138,0.8571428571428571,0.8333333333333334,0.43649056343635395,0.9699474141282697,1.0,0.20654329147389294,1.0,0.3333333333333333,0.023255813953488372,1,0,10,0,0,0,51
Lateral OA,11,47,1,1,2,0.034482758620689655,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.09090909090909091,0.02127659574468085,0,0,10,0,0,0,56
PF OA,21,37,10,0,10,0.1724137931034483,0.9,0.9,0.5958436145024278,0.9821242504842788,,,,0.42857142857142855,0.0,1,0,12,0,0,0,48
Effusion,35,23,45,5,50,0.8620689655172413,0.72,0.6888888888888889,0.5433492001245104,0.8047147453645809,1.0,0.5655085052479191,1.0,0.8857142857142857,0.21739130434782608,14,0,4,1,0,0,7
Synovitis,27,31,15,0,15,0.25862068965517243,0.7333333333333333,0.7333333333333333,0.4804911034231324,0.8910272389681718,,,,0.4074074074074074,0.0,4,0,16,0,0,0,43
Baker's,12,46,15,7,22,0.3793103448275862,0.7727272727272727,0.6666666666666666,0.41713125151212976,0.8482389930530876,1.0,0.6456611570247934,1.0,0.8333333333333334,0.15217391304347827,5,0,2,0,0,0,36
Contusion,19,39,15,8,23,0.39655172413793105,0.782608695652174,0.6666666666666666,0.41713125151212976,0.8482389930530876,1.0,0.6755843804891231,1.0,0.5263157894736842,0.20512820512820512,5,0,1,1,5,9,20
Fracture,18,40,14,6,20,0.3448275862068966,0.8,0.7142857142857143,0.4535045882751561,0.882788120898909,1.0,0.6096569663469354,0.9999999999999999,0.5555555555555556,0.15,4,0,6,3,1,0,34
