Variant,Scope,Seed,Epoch,GoldLoss,PseudoLoss,TotalLoss,LearningRate,ElapsedSeconds,PseudoMass::ACL,PseudoMass::MCL,PseudoMass::Medial Meniscus,PseudoMass::Lateral Meniscus,PseudoMass::Medial OA,PseudoMass::Lateral OA,PseudoMass::PF OA,PseudoMass::Effusion,PseudoMass::Synovitis,PseudoMass::Baker's,PseudoMass::Contusion,PseudoMass::Fracture
w60,full_all58,6003,1,0.8638621252030134,0.6975799016654491,0.8453863244503736,0.00040379170073213423,1.9460883140563965,658.2000036239624,667.0000009536743,965.4999980926514,1061.100004196167,1846.5557289123535,1845.2502670288086,1862.3243865966797,985.8000106811523,1865.4984588623047,559.6999979019165,150.2999985218048,320.5000057220459
w60,full_all58,6003,2,0.6791757177561522,0.7740901093930006,0.6897217594087124,0.0009437317965886256,3.8873095512390137,698.3000030517578,669.5000019073486,1002.2999992370605,1057.8000164031982,1848.806900024414,1840.3286895751953,1864.1427192687988,958.7000026702881,1874.5174026489258,557.6000080108643,160.97999715805054,352.7000050544739
w60,full_all58,6003,3,0.48187419306486845,0.8374355714768171,0.5213810130953789,0.000997894146250357,5.825794219970703,703.1000022888184,636.1000032424927,933.7000026702881,1030.0000019073486,1852.8182525634766,1850.8987884521484,1872.4396476745605,978.8999824523926,1879.4395484924316,558.5000038146973,160.73999786376953,310.9000051021576
w60,full_all58,6003,4,0.3056903975084424,0.9609813038259745,0.3785004960373044,0.0009859933784373501,7.7620530128479,710.9000043869019,706.6000051498413,994.4999961853027,1048.3000144958496,1847.1627349853516,1830.8900032043457,1863.2211570739746,939.0999870300293,1864.7642211914062,566.2000026702881,158.09999752044678,331.2000021934509
w60,full_all58,6003,5,0.1626959373243153,1.0093678254634142,0.2567705954425037,0.0009638300653841702,9.684987783432007,695.5999937057495,659.8000020980835,973.899995803833,1049.0000076293945,1844.9870071411133,1839.0106391906738,1867.1815910339355,966.5999813079834,1869.980484008789,584.8000164031982,149.69999861717224,314.10000228881836
w60,full_all58,6003,6,0.0862691281363368,1.0113395117223263,0.18905472801998258,0.0009318722236297356,11.734485387802124,667.9000024795532,677.5999994277954,945.8999996185303,1035.000015258789,1829.6449432373047,1826.683494567871,1850.1801109313965,968.399995803833,1848.2491340637207,544.5999956130981,151.5599980354309,316.2999978065491
w60,full_all58,6003,7,0.06371208350174129,0.9483662527054548,0.1620069951750338,0.000890794698060879,13.80019736289978,658.3999996185303,637.7000026702881,964.4000129699707,1073.500015258789,1841.5080642700195,1848.03511428833,1833.2282333374023,941.1999969482422,1861.8264656066895,554.3000116348267,142.2599973678589,323.70000314712524
w60,full_all58,6003,8,0.054133808240294456,0.8723917659372091,0.14505136152729392,0.0008414649113999131,15.834959983825684,688.999997138977,665.2000045776367,966.1000137329102,1053.4000072479248,1846.8832931518555,1828.9613037109375,1866.928783416748,947.2999897003174,1865.3457832336426,594.1000032424927,145.31999671459198,313.89999771118164
w60,full_all58,6003,9,0.038110784720629454,0.7655440699309111,0.11893670680001378,0.0007849245470794208,17.866665363311768,683.6999979019165,656.4000005722046,951.1999988555908,1072.8999996185303,1857.732421875,1833.6244621276855,1873.8586692810059,971.7999954223633,1871.503890991211,541.6000022888184,134.0999962091446,318.699999332428
w60,full_all58,6003,10,0.03213552123634145,0.7191377617418766,0.10846910462714732,0.0007223675523019238,19.997697114944458,646.9000015258789,625.7000026702881,959.4999980926514,1043.6000137329102,1846.775691986084,1829.109977722168,1865.777416229248,944.5999908447266,1865.7652015686035,551.600004196167,155.15999937057495,323.7000036239624
w60,full_all58,6003,11,0.023429357534041628,0.6943490579724312,0.09797599189914763,0.0006551149257877237,22.008848190307617,633.3000087738037,625.1000003814697,957.0000019073486,1027.4000186920166,1839.577350616455,1851.0393829345703,1864.4729499816895,944.299991607666,1864.866470336914,556.400013923645,146.81999695301056,306.60000228881836
