OuterFold,Label,SelectedCellN,SelectedStudyCoverage,MeanSoftTarget,SoftTargetFraction_ge_0_5,MeanSelectionScore
5,ACL,1257,0.28903196137042997,0.3076943057463095,0.20286396181384247,0.6433937034867189
5,MCL,1190,0.27362612094734423,0.23167902542961002,0.030252100840336135,0.5521847862482955
5,Medial Meniscus,1862,0.42814440101172685,0.5449061112082788,0.5381310418904404,0.6599763147715254
5,Lateral Meniscus,1462,0.3361692343067372,0.3747611492275404,0.2585499316005472,0.5565297441845819
5,Medial OA,0,0.0,,,
5,Lateral OA,0,0.0,,,
5,PF OA,0,0.0,,,
5,Effusion,999,0.22970797884571165,0.382167454818145,0.2722722722722723,0.5401073241159174
5,Synovitis,0,0.0,,,
5,Baker's,500,0.11496895838123707,0.712283079105338,0.776,0.6316562905865722
5,Contusion,725,0.16670498965279373,0.33728193141938934,0.17655172413793102,0.5384479682270945
5,Fracture,442,0.10163255920901357,0.38462522635531193,0.22624434389140272,0.5553499893817545
