Label,Direction,Rank,Term,PositiveMeanTFIDF,NegativeMeanTFIDF,Delta
ACL,positive_association,1,ve,0.03461520855924153,0.007084412832165633,0.027530795727075896
ACL,positive_association,2,van,0.020395770046719414,0.0,0.020395770046719414
ACL,positive_association,3,met,0.01986234275439415,0.0,0.01986234275439415
ACL,positive_association,4,posterior horn of,0.023287765823266193,0.0034349991364611824,0.01985276668680501
ACL,positive_association,5,hafif,0.01750798729317416,0.0,0.01750798729317416
ACL,positive_association,6,kemik,0.01922452041262768,0.002103088887173065,0.017121431525454617
ACL,positive_association,7,izlenmiştir,0.020596053528528897,0.003560839019784028,0.01703521450874487
ACL,positive_association,8,lateral tibial,0.020984056598141003,0.004190888637246583,0.01679316796089442
ACL,positive_association,9,lateral tibial plateau,0.019973795625250677,0.0032822311496679478,0.01669156447558273
ACL,positive_association,10,posterior horn,0.02309447483331703,0.007102781160813256,0.015991693672503776
ACL,positive_association,11,tibial plateau,0.023545099717525726,0.00855349056937844,0.014991609148147286
ACL,positive_association,12,van de,0.014773079449266438,0.0,0.014773079449266438
ACL,positive_association,13,tear of,0.022638089088384376,0.008231833435127263,0.014406255653257113
ACL,positive_association,14,plateau,0.023545099717525726,0.009407448246360578,0.014137651471165148
ACL,positive_association,15,grade ii,0.016941639121194358,0.003026024220845292,0.013915614900349066
ACL,positive_association,16,het,0.013899537652384,0.0,0.013899537652384
ACL,positive_association,17,на,0.02182823965708495,0.00810963695872113,0.013718602698363822
ACL,positive_association,18,mid substance,0.015475584501675223,0.0020076014190713613,0.01346798308260386
ACL,positive_association,19,substance,0.015475584501675223,0.0020076014190713613,0.01346798308260386
ACL,positive_association,20,ve patellar,0.015456082313799396,0.001992527342873108,0.013463554970926288
ACL,positive_association,21,ligament is,0.01795977041045395,0.005202402320102047,0.012757368090351901
ACL,positive_association,22,ligament is intact,0.01795977041045395,0.005202402320102047,0.012757368090351901
ACL,positive_association,23,mid,0.016242136645696233,0.0035323113418107765,0.012709825303885456
ACL,positive_association,24,laterale,0.012527587844064752,0.0,0.012527587844064752
ACL,positive_association,25,voorkomen,0.012527587844064752,0.0,0.012527587844064752
ACL,positive_association,26,horn of,0.021283425375036007,0.008812179936232204,0.012471245438803803
ACL,positive_association,27,връзка,0.012457627840146047,0.0,0.012457627840146047
ACL,positive_association,28,posterior aspect,0.012438801979528628,0.0,0.012438801979528628
ACL,positive_association,29,is intact,0.019878414216137737,0.007449901678541423,0.012428512537596314
ACL,positive_association,30,is,0.03440908174406805,0.02198285414720156,0.012426227596866492
ACL,positive_association,31,the lateral tibial,0.014617261405835538,0.0022469326336704036,0.012370328772165134
ACL,positive_association,32,tibial,0.028717848059076036,0.01636770989214746,0.012350138166928575
ACL,positive_association,33,del lca rotura,0.012325678266822331,0.0,0.012325678266822331
ACL,positive_association,34,lca rotura,0.012325678266822331,0.0,0.012325678266822331
ACL,positive_association,35,intact,0.025956646654832327,0.013665270237744826,0.012291376417087501
ACL,positive_association,36,diz,0.015512747605800705,0.003251592375730974,0.012261155230069732
ACL,positive_association,37,mit,0.016770522462722624,0.004528702766137694,0.01224181969658493
ACL,positive_association,38,complete tear of,0.014274265283447845,0.002057843985763207,0.012216421297684637
ACL,positive_association,39,intact the,0.01720656266014006,0.005050062076093845,0.012156500584046215
ACL,positive_association,40,complete,0.01834561990078893,0.006300462842289797,0.012045157058499133
ACL,negative_association,1,with,0.00955750365623871,0.03417746953767378,-0.02461996588143507
ACL,negative_association,2,la,0.008546093902284474,0.03211382228129281,-0.023567728379008335
ACL,negative_association,3,de la,0.008025593316679644,0.030641676734768,-0.022616083418088358
ACL,negative_association,4,cyst,0.0,0.020627035090448706,-0.020627035090448706
ACL,negative_association,5,meniscus tear,0.0,0.019026832964072617,-0.019026832964072617
ACL,negative_association,6,oa,0.002439694924528604,0.020737403639346785,-0.01829770871481818
ACL,negative_association,7,baker's cyst,0.0,0.018253997591473003,-0.018253997591473003
ACL,negative_association,8,baker's,0.0,0.018253997591473003,-0.018253997591473003
ACL,negative_association,9,medial meniscus tear,0.0,0.01667874627265362,-0.01667874627265362
ACL,negative_association,10,technique,0.0,0.01576457000494448,-0.01576457000494448
ACL,negative_association,11,technique mri,0.0,0.01576457000494448,-0.01576457000494448
ACL,negative_association,12,technique mri of,0.0,0.01576457000494448,-0.01576457000494448
ACL,negative_association,13,acl normal,0.0,0.015338925897357544,-0.015338925897357544
ACL,negative_association,14,mcl normal,0.0,0.015338925897357544,-0.015338925897357544
ACL,negative_association,15,de,0.024219317915171613,0.039440976196473965,-0.015221658281302352
ACL,negative_association,16,condropatía,0.0017307753621521736,0.01675773051333214,-0.015026955151179966
ACL,negative_association,17,knee acl,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,18,normal mcl,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,19,the knee acl,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,20,normal mcl normal,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,21,acl normal mcl,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,22,mcl normal medial,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,23,knee acl normal,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,24,normal medial meniscus,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,25,of the knee,0.0,0.014599410458221607,-0.014599410458221607
ACL,negative_association,26,tear lateral,0.0,0.014270127334627028,-0.014270127334627028
ACL,negative_association,27,señal,0.0017307753621521736,0.015807030067708314,-0.014076254705556141
ACL,negative_association,28,oa of,0.0,0.0140257476692703,-0.0140257476692703
ACL,negative_association,29,tear lateral meniscus,0.0,0.013589522233067516,-0.013589522233067516
ACL,negative_association,30,meniscus tear lateral,0.0,0.013589522233067516,-0.013589522233067516
ACL,negative_association,31,con,0.004130139487068968,0.017674117780012037,-0.013543978292943069
ACL,negative_association,32,signos de,0.0,0.013321537272694278,-0.013321537272694278
ACL,negative_association,33,signos,0.0,0.013321537272694278,-0.013321537272694278
ACL,negative_association,34,the knee,0.0020301541732046387,0.01534972724074703,-0.013319573067542391
ACL,negative_association,35,mri of the,0.0018747376730101485,0.015187909308072657,-0.013313171635062508
ACL,negative_association,36,effusion with,0.0,0.013107916888698272,-0.013107916888698272
ACL,negative_association,37,mcl,0.008937254248724562,0.02200770996019697,-0.013070455711472409
ACL,negative_association,38,no baker's,0.0,0.012989787903818467,-0.012989787903818467
ACL,negative_association,39,no baker's cyst,0.0,0.012989787903818467,-0.012989787903818467
ACL,negative_association,40,rotuliana,0.0,0.01289248370330354,-0.01289248370330354
MCL,positive_association,1,del,0.04644269442373038,0.013681427269059502,0.03276126715467088
MCL,positive_association,2,aspect,0.03446071247524323,0.004525806743265031,0.029934905731978198
MCL,positive_association,3,rotura,0.0386889434030967,0.008870133915904592,0.029818809487192108
MCL,positive_association,4,parcial,0.032221838878622594,0.003994904534334225,0.02822693434428837
MCL,positive_association,5,parcial del,0.02674314263268161,0.0009374097504985912,0.02580573288218302
MCL,positive_association,6,del lca rotura,0.02674314263268161,0.0011250611165224795,0.02561808151615913
MCL,positive_association,7,lca rotura,0.02674314263268161,0.0011250611165224795,0.02561808151615913
MCL,positive_association,8,de,0.05422074184346459,0.029270819266388817,0.024949922577075775
MCL,positive_association,9,femorotibiales,0.028071719720333073,0.003258211505719872,0.0248135082146132
MCL,positive_association,10,anteromedial,0.023519939983733085,0.0,0.023519939983733085
MCL,positive_association,11,partial tear,0.027349457550963685,0.004322729092362049,0.023026728458601636
MCL,positive_association,12,injury,0.033063328304171635,0.010196401940099858,0.022866926364071775
MCL,positive_association,13,proximal,0.02991223366818406,0.007080786625266851,0.02283144704291721
MCL,positive_association,14,bony,0.022539917585524046,0.0,0.022539917585524046
MCL,positive_association,15,at the posterior,0.02566057462172972,0.0032425741839572685,0.02241800043777245
MCL,positive_association,16,menisco interno,0.02674314263268161,0.004401585330293543,0.022341557302388067
MCL,positive_association,17,interno,0.02674314263268161,0.004401585330293543,0.022341557302388067
MCL,positive_association,18,rotura del,0.02480957454675867,0.0025018454084208093,0.02230772913833786
