OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
4,ACL,1308,0.30075879512531617,0.3066907992795501
4,MCL,1197,0.27523568636468154,0.22766663078390226
4,Medial Meniscus,1595,0.36675097723614625,0.550073775331997
4,Lateral Meniscus,2153,0.4950563347896068,0.29566662121109033
4,Medial OA,0,0.0,
4,Lateral OA,0,0.0,
4,PF OA,0,0.0,
4,Effusion,881,0.2025753046677397,0.3431705108502286
4,Synovitis,0,0.0,
4,Baker's,890,0.204644745918602,0.47281380521839056
4,Contusion,0,0.0,
4,Fracture,580,0.133363991722235,0.29606337300641233
