OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
2,ACL,1309,0.3009887330420786,0.3400920971244854
2,MCL,1205,0.2770751896987813,0.23942328432272741
2,Medial Meniscus,1694,0.38951483099563117,0.5793673902269763
2,Lateral Meniscus,1800,0.41388825017245345,0.30488883001273476
2,Medial OA,0,0.0,
2,Lateral OA,0,0.0,
2,PF OA,0,0.0,
2,Effusion,968,0.22257990342607495,0.23152856822489543
2,Synovitis,0,0.0,
2,Baker's,844,0.19406760174752816,0.4270440204534106
2,Contusion,0,0.0,
2,Fracture,513,0.11795815129914923,0.24565009074867106
