OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
1,ACL,1256,0.2888020234536675,0.3085414470052758
1,MCL,1254,0.28834214762014254,0.2565450741507481
1,Medial Meniscus,1638,0.3766383076569326,0.5592585031856017
1,Lateral Meniscus,2031,0.467003908944585,0.301797933395825
1,Medial OA,0,0.0,
1,Lateral OA,0,0.0,
1,PF OA,0,0.0,
1,Effusion,830,0.19084847091285354,0.27474167468784855
1,Synovitis,0,0.0,
1,Baker's,548,0.12600597838583583,0.6683103632932856
1,Contusion,662,0.15221890089675788,0.3296950450880919
1,Fracture,590,0.13566337088985975,0.2836073081382107
