OuterFold,Label,SelectedCellN,SelectedStudyFraction,MeanSoftTarget
3,ACL,1274,0.292940905955392,0.3045699297106531
3,MCL,1202,0.2763853759484939,0.23776529940414065
3,Medial Meniscus,1695,0.3897447689123937,0.5552549149808578
3,Lateral Meniscus,2124,0.48838813520349506,0.31384283098121973
3,Medial OA,0,0.0,
3,Lateral OA,0,0.0,
3,PF OA,0,0.0,
3,Effusion,987,0.22694872384456197,0.34825164579579376
3,Synovitis,0,0.0,
3,Baker's,838,0.19268797424695333,0.43282645947815046
3,Contusion,245,0.056334789606806164,0.4066004874801994
3,Fracture,522,0.1200275925500115,0.2845336279320137
