fold,epoch,lr,train_loss,val_loss,val_macro_AUROC,val_macro_AP,val_macro_F1
4,1,0.0009829799502313896,1.0824565988905885,0.9602093534036116,0.5298776455026455,0.5128817941317941,0.3004222629222629
4,2,0.0009330796891903274,0.9893440312527596,0.9430165670134805,0.5808531746031746,0.5273063973063973,0.27478123728123727
4,3,0.0008536998372026806,0.9590883331095919,0.9296334331685846,0.5760912698412698,0.5188152356902357,0.16898148148148148
4,4,0.0007502500000000002,0.9753371553218111,0.9339956749569286,0.5932208994708995,0.5167153679653679,0.36257885632885634
4,5,0.0006297801130287093,0.9719476484237833,0.9311428449370645,0.5919477513227512,0.537946299732014,0.39695004070004064
4,6,0.0005005000000000001,0.943524883148518,0.9246531453999606,0.5869708994708996,0.5410377585377585,0.23033679283679284
4,7,0.000371219886971291,0.9455403546069531,0.9285005493597551,0.5865410052910053,0.5722813165670307,0.4004222629222629
4,8,0.00025075000000000016,0.938598393125737,0.9224757877263156,0.5882605820105821,0.583306448842163,0.23826566951566952
4,9,0.00014730016279731957,0.9305040468560889,0.9211593216115778,0.5801752645502645,0.5878934326255755,0.2794439356939357
4,10,6.792031080967288e-05,0.9081577747426135,0.9195780428973112,0.581630291005291,0.5660338504088503,0.36473364598364594
4,11,1.802004976861044e-05,0.9148141056933301,0.9191463698040355,0.5737764550264549,0.587470689033189,0.384755291005291
4,12,1e-06,0.9166381498600574,0.9189030961556868,0.570651455026455,0.5778278318903319,0.35234788359788355
