fold,epoch,lr,train_loss,val_loss,val_macro_AUROC,val_macro_AP,val_macro_F1
3,1,0.0009829799502313896,1.0972771390955498,0.9553464867851951,0.5150132275132275,0.4852857085595181,0.23062678062678063
3,2,0.0009330796891903274,0.9883076421757961,0.9400397864255038,0.5195436507936507,0.48309969021278537,0.42368233618233614
3,3,0.0008536998372026806,0.9613288374657326,0.9356943964958191,0.5649140211640212,0.5204900908174718,0.2623397435897436
3,4,0.0007502500000000002,0.9689303332186759,0.9364478804848411,0.5971560846560847,0.5508324314574314,0.26193019943019946
3,5,0.0006297801130287093,0.9542123003208891,0.9174086614088579,0.5946759259259259,0.5821158008658008,0.23816825875649403
3,6,0.0005005000000000001,0.9412205536314782,0.9157994823022322,0.5907407407407407,0.5822180134680134,0.3302317508199861
3,7,0.000371219886971291,0.9573565607375287,0.9149127223274924,0.6003968253968254,0.5820579304954305,0.28747964997965
3,8,0.00025075000000000016,0.9464645474515063,0.9190685749053955,0.5935515873015874,0.5859517797017797,0.3515135327635328
3,9,0.00014730016279731957,0.9335131695929993,0.9198672663081776,0.5921626984126984,0.5639775733525734,0.4224312180194533
3,10,6.792031080967288e-05,0.9362135072971912,0.91800903190266,0.5889880952380954,0.5734021765271765,0.3138092843975197
3,11,1.802004976861044e-05,0.9152807238254141,0.9147899367592551,0.5861111111111111,0.5732729076479076,0.3000730206612559
3,12,1e-06,0.9194568573160374,0.9148105220361189,0.5866732804232804,0.5688623050230194,0.3000730206612559
