fold,epoch,lr,train_loss,val_loss,val_macro_AUROC,val_macro_AP,val_macro_F1
5,1,0.0009829799502313896,1.0348665515581768,1.0681247757031367,0.588344757094757,0.4697309866059866,0.33594187675070025
5,2,0.0009330796891903274,0.9759397678905063,0.9127845626610976,0.549939874939875,0.48026315780780066,0.26583605664488014
5,3,0.0008536998372026806,0.992872330877516,0.9049114401523883,0.5857293169793171,0.4872706889671175,0.33435457516339867
5,4,0.0007502500000000002,0.9609838604927063,0.870362286384289,0.5777251683501684,0.48753777307348733,0.23564814814814813
5,5,0.0006297801130287093,0.9335880345768399,0.8698972050960248,0.5485524891774891,0.4697551852908995,0.3159060846560846
5,6,0.0005005000000000001,0.9362968762715658,0.8834827221356906,0.5553210678210679,0.48117233295804723,0.3121323529411764
5,7,0.000371219886971291,0.9178161912494236,0.8652498217729422,0.534970238095238,0.47970180282680275,0.16948634154516506
5,8,0.00025075000000000016,0.9089499182171292,0.8697492984625009,0.5235434704184704,0.4776717032967032,0.36692343604108313
5,9,0.00014730016279731957,0.9079208996560838,0.866504614169781,0.5153965247715248,0.47459259325330744,0.26051198257080616
5,10,6.792031080967288e-05,0.9002937608295016,0.8624215080187871,0.5126608345358346,0.48458537824609255,0.23518518518518516
5,11,1.802004976861044e-05,0.8826159993807475,0.8640519334719732,0.512453403078403,0.4753955634312777,0.258994708994709
5,12,1e-06,0.8874396509594388,0.8640599388342637,0.5027386964886965,0.4752103782460925,0.27685185185185185
