Label,PositiveCount,AUROC,AveragePrecision
ACL,24,0.4987745098039216,0.44655258504197026
MCL,9,0.40136054421768713,0.14645956745099953
Medial Meniscus,26,0.5805288461538461,0.5226396345127983
Lateral Meniscus,23,0.5801242236024845,0.49619069896055257
Medial OA,15,0.6077519379844961,0.4113415519470908
Lateral OA,11,0.6934235976789168,0.3317841010435054
PF OA,21,0.6235521235521234,0.5917879670172532
Effusion,35,0.42049689440993787,0.5650846390865035
Synovitis,27,0.4540023894862605,0.45067879097730734
Baker's,12,0.519927536231884,0.3045561374094307
Contusion,19,0.5870445344129555,0.4760373225322392
Fracture,18,0.5840277777777778,0.45442426873210084
