OuterFold,Label,UnlabeledStudies,PseudoLabelGatePass,PseudoLabelGateReason,EvidenceAvailableN,SoftLabelAvailableN,SoftLabelCoverage,MeanProbabilityAvailable,MedianProbabilityAvailable,StdProbabilityAvailable,SelectionScoreN_ge_0.5,RuleStructuredN,SemanticRecoveredN
2,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.38311405627785594,0.18813283386431684,0.29669142201032006,1309,2427,0
2,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.3085501085890869,0.2161788549837049,0.17132581358612806,1205,2242,0
2,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5609063101218495,0.6984988131748965,0.28362751085244237,1694,2901,3
2,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.3540304088905265,0.23134781818360303,0.21650001575659547,1800,3135,3
2,Medial OA,4349,False,insufficient_evidence_n|evidence_brier_not_better_than_prior,342,0,0.0,,,,0,333,9
2,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
2,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
2,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.48289786770305854,0.5700080711652873,0.2090437783504161,968,3132,0
2,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
2,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.4849120616046599,0.4771986569473144,0.22925158966611855,844,1644,0
2,Contusion,4349,False,evidence_brier_not_better_than_prior,1662,0,0.0,,,,0,1662,0
2,Fracture,4349,True,pass,859,859,0.1975166704989653,0.3580278665592193,0.22054983137917156,0.2108353687293733,513,857,2
