Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.5148521253239984,0.40140048377426885,0.38289842593781204
2,0.4968522689514306,0.3935516175426384,0.39600487152370895
3,0.4891656562546223,0.3872013453410539,0.36148373294310904
4,0.53077344362842,0.40612094820396777,0.35218214064768
5,0.5272903040645941,0.4194539720869535,0.3669351724003311
6,0.5009134716894731,0.3941712251488851,0.34110425457623933
7,0.5277907051903274,0.4067874927409263,0.3052553457743059
8,0.5343479059355346,0.40789540855747747,0.4011454702540544
9,0.5440471512457278,0.4186566678169814,0.3620394100174202
10,0.5407979649362475,0.405675191104409,0.3142803944647263
11,0.5371435984418135,0.40321463893439763,0.31091503030724593
12,0.5352471415887549,0.39812626621324587,0.3148429206122521
