Epoch,OOF_Macro_AUROC,OOF_Macro_AP,OOF_Macro_F1
1,0.5860008223902328,0.47060643704903105,0.42820478980987814
2,0.6114393505118415,0.4979447391141862,0.4186782498811977
3,0.645581819567071,0.5191320411235955,0.4513688884332434
4,0.633412305764883,0.5177119704866903,0.4307541528216436
5,0.6450774629310884,0.5071680379037076,0.4597614212858641
6,0.6386699116233108,0.5150808661498585,0.4549652344249126
7,0.637483007443354,0.505446307022265,0.4235367085609573
8,0.6277226171721809,0.5024837619104016,0.43429652465625795
9,0.6266052702145756,0.5005559465950385,0.4194621854276425
10,0.6194600654932257,0.49883152101589007,0.42084059078584185
11,0.6197545541642921,0.49311279724593976,0.41702990046013305
12,0.6168931203900724,0.49941882678201077,0.43554329625053206
13,0.6238032350183017,0.49394734724960204,0.42050275111685925
14,0.6198716546027082,0.5045572472327432,0.4439020624580401
15,0.6190307890547336,0.4907347564845715,0.4171635911751445
16,0.6221369675793949,0.4995878803437281,0.4227699009679832
17,0.6206475792193009,0.492624523711898,0.4212043553232095
18,0.6221346665864153,0.49025234147441865,0.4168347393190445
19,0.6181263772479978,0.4871053222071571,0.40969222739263733
20,0.6173732286428506,0.489371264758317,0.4329401910448943
21,0.6178816256483587,0.49268624736283684,0.42921553879083024
22,0.6204010053589643,0.49177529465258346,0.4263953169542751
23,0.6207326943031154,0.49214626779120946,0.43069306418476433
24,0.6206400750390512,0.4919651462136936,0.43069306418476433
