OuterFold,Label,UnlabeledStudies,PseudoLabelGatePass,PseudoLabelGateReason,EvidenceAvailableN,SoftLabelAvailableN,SoftLabelCoverage,MeanProbabilityAvailable,MedianProbabilityAvailable,StdProbabilityAvailable,SelectionScoreN_ge_0.5,RuleStructuredN,SemanticRecoveredN
5,ACL,4349,True,pass,1588,1588,0.36514141181880894,0.3576002931948329,0.1881445813385181,0.27766924740537013,1257,2427,0
5,MCL,4349,True,pass,1611,1611,0.37042998390434584,0.30104838137023027,0.211201034916695,0.16460607992251342,1190,2242,0
5,Medial Meniscus,4349,True,pass,2453,2453,0.564037709818349,0.5479218364192068,0.683602964511339,0.3191350996947886,1862,2901,3
5,Lateral Meniscus,4349,True,pass,2599,2599,0.5976086456656703,0.36488476448839996,0.23792452746701048,0.23002658116440935,1462,3135,3
5,Medial OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,342,0,0.0,,,,0,333,9
5,Lateral OA,4349,False,insufficient_evidence_n,207,0,0.0,,,,0,201,6
5,PF OA,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,830,0,0.0,,,,0,797,33
5,Effusion,4349,True,pass,3132,3132,0.720165555300069,0.5156414399764028,0.5950839855522747,0.19974962643862107,999,3132,0
5,Synovitis,4349,False,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,460,0,0.0,,,,0,460,0
5,Baker's,4349,True,pass,1644,1644,0.3780179351575075,0.5238642457051678,0.5503128618565881,0.2418451742462457,500,1644,0
5,Contusion,4349,True,pass,1662,1662,0.382156817659232,0.39391004364588017,0.34668152932215995,0.19328638212054047,725,1662,0
5,Fracture,4349,True,pass,859,859,0.1975166704989653,0.41803038963588707,0.2541854443061577,0.24708988372165053,442,857,2
